,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
364,27.0,38400.0,1981,1,100,94.8,13.3,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,317.0,824.0,-73.951891,40.648044
365,98.0,141600.0,1975,1,100,38.4,2.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,4.0,0,0,301.0,531.0,-73.952985,40.702427
366,65.0,90100.0,1994,1,100,50.9,8.4,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,304.0,431.0,-73.920711,40.698021
420,99.0,160800.0,1966,1,100,34.0,2.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,2.0,0,0,301.0,499.0,-73.948625,40.7152691568
421,89.0,120000.0,1964,1,100,45.1,4.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,607.1,2.0,0,0,307.0,80.0,-74.012289,40.649042
422,74.0,108000.0,1965,1,100,72.8,4.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,3.0,3.0,0,0,303.0,377.0,-73.922463,40.685695
423,60.0,115193.0,1950,1,100,64.2,7.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,4.0,0,0,306.0,75.0,-73.991949,40.680445
424,96.0,159600.0,1956,1,100,40.5,3.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,144.7,3.0,0,0,312.0,490.0,-73.971651,40.638686
425,90.0,187200.0,1963,1,100,44.0,2.5,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1351.4,3.0,0,0,318.0,69602.0,-73.91287,40.621224
426,90.0,61200.0,1971,1,100,52.0,4.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,302.0,179.0,-73.968769,40.682533
