,score,property_id,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
23222,67,10396951.0,50934.0,1929.0,1,100,225485.2,173.9,62.9,79.5,0.0,0.0,1.39396,1.19763,0.0,61.0,1.19763,90.0,100.0,4594.425778134381,8.0,0,0,212.0,420.0,-73.858972,40.88786849
23223,36,10397025.0,42294.0,1928.0,1,100,184252.7,200.3,52.1,79.5,0.0,0.0,1.46593,1.15856,0.0,49.0,1.15856,90.0,100.0,5967.2,8.0,0,0,212.0,418.0,-73.859332,40.88786849
23230,46,10397339.0,27130.0,2004.0,1,100,200574.6,129.6,56.8,79.5,0.0,0.0,2.101,1.7804211999999997,0.0,57.0,1.6472331999999985,100.0,100.0,4594.425778134381,5.0,0,0,202.0,85.0,-73.898261,40.814361
23240,90,10402785.0,29104.0,1922.0,1,100,113247.9,121.5,31.6,79.5,0.0,0.0,3.605774,1.0995,0.0,32.0,1.0995,90.0,100.0,5891.3,7.0,0,0,207.0,413.0,-73.886639,40.871531
23251,77,10402964.0,97510.0,1940.0,1,100,416112.3,239.8,115.5,79.5,0.0,0.0,0.91273,0.91273,0.0,89.0,0.91273,90.0,100.0,4594.425778134381,9.0,0,0,207.0,265.0,-73.89921,40.865169
23252,100,10402965.0,61653.0,1920.0,1,100,257161.1,29.5,72.2,79.5,0.0,0.0,0.92453,0.92453,0.0,57.0,0.92453,90.0,100.0,9475.2,10.0,0,0,207.0,263.0,-73.903788,40.864553
23253,56,10402966.0,34668.0,1924.0,1,100,137061.5,128.4,38.0,79.5,0.0,0.0,1.09611,1.09611,0.0,38.0,1.09611,90.0,100.0,3090.6,8.0,0,0,207.0,413.0,-73.885171,40.873289
23254,95,10402967.0,36380.0,1924.0,1,100,115063.3,101.7,32.1,79.5,0.0,0.0,0.98955,0.98955,0.0,36.0,0.98955,90.0,100.0,4594.425778134381,8.0,0,0,207.0,419.0,-73.880249,40.87795
23296,57,10405121.0,29981.0,1922.0,1,100,163507.1,121.9,43.3,79.5,0.0,0.0,2.13468,1.03399,0.0,31.0,1.03399,90.0,100.0,4594.425778134381,5.0,0,0,205.0,23301.0,-73.909271,40.849651
23297,9,10405123.0,31125.0,1927.0,1,100,175451.9,230.7,47.6,79.5,0.0,0.0,1.06024,0.96386,0.0,30.0,0.96386,90.0,100.0,4594.425778134381,8.0,0,0,205.0,241.0,-73.90809,40.851689
23298,35,10405126.0,31125.0,1927.0,1,100,135882.6,230.3,37.5,79.5,0.0,0.0,1.89558,0.96386,0.0,30.0,0.96386,90.0,100.0,4594.425778134381,6.0,0,0,205.0,241.0,-73.908028,40.851755
23299,33,10405143.0,28875.0,1926.0,1,100,186778.9,98.4,51.3,79.5,0.0,0.0,1.17749,1.00433,0.0,29.0,1.00433,90.0,100.0,4594.425778134381,7.0,0,0,205.0,241.0,-73.908078,40.852458
23301,92,10405205.0,72600.0,1991.0,1,100,223529.7,183.7,62.1,79.5,0.0,0.0,1.1708,0.5759018,0.0,39.0,0.53719,90.0,100.0,2323.5,5.0,0,0,205.0,21502.0,-73.914664,40.849227
