,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
288,66.0,82800.0,1931.0,1,100.0,67.6,4.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,11092.8,314.0,768.0,40.616632,-73.963476
289,81.0,104400.0,1971.0,1,100.0,59.6,3.5,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,6518.8,305.0,1202.0,40.676513,-73.86927335
290,55.0,96000.0,1939.0,1,100.0,75.2,4.4,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,782.0,309.0,355.0,40.663701,-73.936049
291,71.0,186000.0,1936.0,1,100.0,72.6,3.5,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,3863.9,313.0,330.0,40.578188,-73.99203
292,90.0,109200.0,1957.0,1,100.0,51.0,4.6,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,8975.7,302.0,43.0,40.687466,-73.988288
293,82.0,123600.0,1960.0,1,100.0,47.4,3.6,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,4897.9,304.0,393.0,40.694921,-73.927931
294,47.0,62400.0,1967.0,1,100.0,86.1,4.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,318.0,666.0,40.596145,-73.928793
295,93.0,183600.0,1967.0,1,100.0,50.5,4.3,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,8703.4,311.0,304.0,40.595341,-73.993457
296,42.0,188400.0,1960.0,1,100.0,68.8,3.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2123.8,304.0,413.0,40.688387,-73.910276
297,61.0,94800.0,1959.0,1,100.0,61.3,4.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,11.476,303.0,257.0,40.697781,-73.947809
298,81.0,171600.0,1967.0,2,100.0,51.0,4.2,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,33805.4,316.0,924.0,40.668475,-73.912351
299,88.0,136800.0,1973.0,1,100.0,49.6,4.9,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1110.2,313.0,342.0,40.57790076,-73.996292
300,79.0,147600.0,1973.0,1,100.0,57.8,5.4,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,304.0,409.0,40.690353,-73.904803
301,74.0,177600.0,1920.0,1,100.0,66.3,3.8,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,3857.5,308.0,31701.0,40.67438,-73.951443
302,68.0,212400.0,1940.0,1,100.0,75.0,5.3,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,305.0,1196.0,40.678276,-73.87596
303,91.0,207775.0,1920.0,1,100.0,45.7,4.8,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5154.9,302.0,15.0,40.697339,-73.985016
304,91.0,460800.0,1981.0,1,100.0,48.2,4.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,11.476,301.0,485.0,40.712184,-73.939722
305,73.0,74830.0,1931.0,1,100.0,55.1,9.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2434.2,304.0,393.0,40.694507,-73.929107
306,31.0,127200.0,2002.0,1,100.0,79.4,12.9,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,15418.4,318.0,970.0,40.64883,-73.907774
