,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
5577,50.0,966147.800000002,1983,1,100.0,100.1,20.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,50650.25600000001,105.0,131.0,40.761955,-73.982622
5632,55.13228165660345,65280.0,1922,1,100.0,52.3,8.2,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2093.9,105.0,109.0,40.75339,-73.990392
5653,61.0,767690.0,1921,1,100.0,85.6,16.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,101.0,13.0,40.705752,-74.01322886
5657,72.0,847751.0,1969,1,100.0,70.0,14.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,101.0,9.0,40.70443807,-74.012948
5659,92.0,118785.0,1910,1,100.0,44.6,6.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1371.9,105.0,95.0,40.745831,-73.991916
5660,91.0,118948.0,1908,1,100.0,43.1,7.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1818.1,105.0,58.0,40.740649,-73.991408
5664,78.0,966147.800000002,1988,1,100.0,113.9,19.2,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,125.0,40.760216,-73.985334
5665,7.0,85517.0,1912,1,100.0,186.7,30.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1282.9,105.0,101.0,40.74789,-73.991053
5668,77.0,100000.0,1909,1,100.0,69.7,9.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,350.5,105.0,58.0,40.743556,-73.990364
5669,77.0,119552.0,1923,1,100.0,74.0,10.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,957.7,107.0,145.0,40.769303,-73.983003
5670,77.0,119552.0,1923,1,100.0,74.0,10.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,957.7,107.0,145.0,40.769303,-73.983003
5671,75.0,101652.0,1912,1,100.0,57.4,9.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,808.6,105.0,84.0,40.751611,-73.984293
5672,75.0,101652.0,1912,1,100.0,57.4,9.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,808.6,105.0,84.0,40.751611,-73.984293
5675,55.13228165660345,41903.0,1910,1,100.0,54.2,7.6,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,376.7,101.0,31.0,40.717791,-74.001129
5702,46.0,45000.0,1909,1,100.0,118.0,15.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,3017.8,105.0,74.0,40.746758,-73.984539
5704,92.0,272142.0,1927,1,100.0,41.3,4.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,11036.8,105.0,109.0,40.754282,-73.990641
5708,68.0,46552.0,1920,1,100.0,73.8,7.256123539601224,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2130.5,102.0,49.0,40.723956,-74.000714
5727,86.0,568459.0,1952,1,100.0,72.4,12.6,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,14056.6,105.0,82.0,40.750707,-73.980828
5728,55.13228165660345,509503.0,1899,1,100.0,25.4,5.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,12400.2,104.0,99.0,40.752641,-74.007576
5732,80.0,59400.0,1965,1,100.0,61.8,6.2,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,568.5,102.0,77.0,40.738846,-74.000397
5747,30.0,286773.0,1988,1,100.0,132.8,25.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,107.0,153.0,40.773247,-73.980691
5748,30.0,286773.0,1988,1,100.0,132.8,25.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,107.0,153.0,40.773247,-73.980691
5749,72.0,55395.0,1916,1,100.0,70.2,8.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,74.0,40.745444,-73.98673
