,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
19876,80.0,34553.0,1915,1,90,59.5,6.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,440.5,4,0,0,105.0,96.0,-73.980242,40.756553
19889,78.0,240720.0,1931,1,100,51.9,7.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2636.1,6,2,0,104.0,121.0,-73.989669,40.75889
19937,63.0,45665.0,1910,1,100,95.3,18.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,958.5,5,0,0,104.0,133.0,-73.987069,40.764341
20016,80.0,812598.0,1974,1,75,51.3,8.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,11736.4,5,0,0,106.0,90.0,-73.969757,40.753194
20025,59.0,134302.0,1917,1,100,76.8,10.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,108.0,11401.0,-73.970576,40.764047
20050,72.0,587078.0,1921,1,95,66.0,10.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,109.0,-73.989186,40.752992
20051,72.0,543748.0,1921,1,95,66.7,10.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,109.0,-73.98897,40.753283
20062,41.0,32633.0,2015,1,100,109.1,20.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,309.9,2,0,0,111.0,251.0,-73.938481,40.819265
20088,33.0,21152.0,1926,1,90,95.6,6.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,145.7,2,0,0,108.0,132.0,-73.954017,40.769509
20130,39.0,60449.0,1916,1,100,54.2,14.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,2,0,0,105.0,84.0,-73.983524,40.751306
20183,23.0,29219.0,1920,1,100,60.7,13.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,58.0,-73.987373,40.744593
20196,70.0,390751.0,1926,1,60,63.4,8.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,96.0,-73.982176,40.757479
20258,85.0,35514.0,1898,1,95,51.3,9.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,19964.6,3,0,0,102.0,45.0,-73.99965,40.722015
20271,84.0,29932.0,1910,1,100,34.5,5.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,104.0,99.0,-74.003891,40.750854
20272,84.0,29932.0,1910,1,100,34.5,5.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,104.0,99.0,-74.003891,40.750854
20289,86.0,32247.0,1912,1,85,27.7,8.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,331.6,2,0,0,105.0,113.0,-73.988511,40.755023
20317,83.0,58001.0,1935,1,100,45.6,6.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,11201.0,-73.974496,40.763197
20326,23.0,53168.0,1945,1,100,131.2,27.14799999999996,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,619.4,3,0,0,104.0,81.0,-73.999325,40.740899
20350,42.0,59684.0,1940,1,100,74.7,17.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,96.0,-73.979336,40.755626
