,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,longitude,latitude,letters
13206,9.0,26246.0,1925.0,1,100.0,147.3,4.5,0.0,79.5,0.0,0.91443,0.0,24.0,0.91443,71.80354893328818,94.88406218655967,3739.8,7.0,3,0,-73.886638,40.83566,D
13207,71.0,41858.0,1924.0,1,100.0,89.1,5.0,0.0,79.5,0.0,0.88394,0.0,37.0,0.88394,71.80354893328818,94.88406218655967,5649.3,8.0,4,0,-73.88666,40.835581,B
13208,80.0,46772.0,1923.0,1,100.0,75.6,4.4,0.0,79.5,0.0,0.94073,0.0,44.0,0.94073,71.80354893328818,94.88406218655967,4161.4,10.0,5,0,-73.886425,40.836019,B
13209,100.0,65282.0,1924.0,1,100.0,27.7,3.9,0.0,79.5,0.0,0.81186,0.0,53.0,0.81186,71.80354893328818,94.88406218655967,6097.4,9.0,4,0,-73.917166,40.84594,A
13210,65.0,30570.0,1924.0,1,100.0,89.7,4.6,0.0,79.5,0.0,0.88322,0.0,27.0,0.88322,71.80354893328818,94.88406218655967,4677.6,8.0,4,0,-73.886751,40.835468,C
13211,65.0,55728.0,1981.0,1,100.0,86.7,4.3,0.0,79.5,0.0,0.96899,0.0,54.0,0.96899,71.80354893328818,94.88406218655967,1152.6,10.0,5,0,-73.888262,40.826538,C
13212,81.0,41934.0,1924.0,1,100.0,77.9,4.6,0.0,79.5,0.0,0.88234,0.0,37.0,0.88234,71.80354893328818,94.88406218655967,2980.2,8.0,4,0,-73.886744,40.835438,B
13213,80.0,41970.0,1924.0,1,100.0,76.4,4.5,0.0,79.5,0.0,0.88158,0.0,37.0,0.88158,71.80354893328818,94.88406218655967,3848.7,9.0,5,0,-73.886588,40.835701,B
13214,99.0,73452.0,1981.0,1,100.0,64.6,5.032275006740363,0.0,79.5,0.0,0.80325,0.0,59.0,0.80325,71.80354893328818,94.88406218655967,9438.3,2.0,0,0,-73.89287,40.82152,A
13215,85.0,26246.0,1931.0,1,100.0,73.6,4.0,0.0,79.5,0.0,0.99063,0.0,26.0,0.99063,71.80354893328818,94.88406218655967,6415.4635607573155,5.0,2,0,-73.886595,40.835731,B
13216,87.0,46326.0,1924.0,1,100.0,67.2,3.6,0.0,79.5,0.0,0.82027,0.0,38.0,0.82027,71.80354893328818,94.88406218655967,3392.2,8.0,4,0,-73.886794,40.835397,A
13217,62.0,40836.0,1981.0,1,100.0,93.0,4.9,0.0,79.5,0.0,1.10197,0.0,45.0,1.10197,71.80354893328818,94.88406218655967,4642.5,9.0,4,0,-73.88783,40.825767,C
13218,31.0,36713.0,1913.0,1,100.0,118.1,5.3,0.0,79.5,0.0,0.81715,0.0,30.0,0.81715,71.80354893328818,94.88406218655967,5235.6,9.0,4,0,-73.894781,40.819005,D
13219,24.0,28068.0,1913.0,1,100.0,120.6,6.0,0.0,79.5,0.0,0.89069,0.0,25.0,0.89069,71.80354893328818,94.88406218655967,4766.6,8.0,4,0,-73.894058,40.819715,D
