,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
2244,33,157850.0,1964.0,1,100,4.3,0.9,675344.7,717.6,5.7,4.5,79.5,0.0,0.0,1.33038,0.79189,0.79189,0.0,0.0,0.0,100.0,11763.9,5.0,0,0,205.0,20501.0,-73.921759,40.849424
2245,70,157625.0,1964.0,1,100,3.7,0.7,576173.8,529.5,4.4,3.4,79.5,0.0,0.0,1.29421,0.65345,0.65345,0.0,0.0,0.0,100.0,10354.5,5.0,0,0,205.0,247.0,-73.917347,40.854224
2246,70,242807.0,1967.0,1,100,4.4,0.7,1063893.1,802.1,4.5,3.3,79.5,0.0,0.0,1.59798,0.85665,0.85665,0.0,0.0,0.0,100.0,16344.2,6.0,0,0,209.0,42.0,-73.860859,40.824694
2248,40,386246.0,1967.0,1,100,4.2,0.8,1606128.8,1512.693959999999,5.2,4.1,79.5,0.0,0.0,1.16247,0.85956,0.85956,0.0,0.0,0.0,100.0,26413.0,9.0,0,0,209.0,98.0,-73.855483,40.826123
2249,38,161419.0,1941.0,1,100,4.4,0.9,710054.3,688.7,5.5,4.3,79.5,0.0,0.0,1.26379,0.96023,0.96023,0.0,0.0,0.0,100.0,16397.3,2.0,0,0,209.0,62.0,-73.874874,40.830664
2250,67,242400.0,1971.0,1,100,4.3,0.7,1083066.0,858.9,4.6,3.4,79.5,0.0,0.0,1.43152,0.97772,0.97772,0.0,0.0,0.0,100.0,17448.8,7.0,0,0,211.0,228.0,-73.864481,40.850331
2314,43,109499.0,1941.0,1,95,3.3,0.9,374864.8,493.0,5.2,4.3,79.5,0.0,0.0,1.42467,1.03197,0.0,48.0,0.43836,70.0,70.0,3371.5,10.0,0,0,204.0,5902.0,-73.922939,40.826276
2316,43,68250.0,1959.0,1,100,3.4,0.0,231271.0,440.9,7.4,6.5,79.5,0.0,0.0,1.78755,0.90842,0.0,20.0,0.29304,80.0,80.0,5513.1,5.0,0,0,211.0,228.0,-73.862905,40.85569
2320,13,420055.1124,1966.0,1,100,5.1,1.2,2258430.2566799996,1512.693959999999,7.2,5.8,79.5,0.0,0.0,1.51385,1.03597,1.03597,0.0,0.0,0.0,100.0,28492.038679999983,10.0,0,0,209.0,74.0,-73.851267,40.819333
2335,93,95061.0,1949.0,1,100,4.1,0.6,388136.4,276.7,4.0,2.9,79.5,0.0,0.0,2.34586,0.82053,0.0,78.0,0.82053,90.0,100.0,3872.7,3.0,0,0,208.0,335.0,-73.90422,40.88786849
