,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
20179,41.0,67884.0,1983,1,100.0,117.4,5.1,0.0,84.7,0.0,0.0,0.0,1.06063,0.0,72.0,1.06063,100.0,5942.8252124221,204.0,199.0,40.836389,-73.925439
20185,26.0,43724.0,1929,1,100.0,115.3,5.5,0.0,84.7,0.0,0.0,0.0,1.0978,0.0,48.0,1.0978,50.0,7119.5,204.0,18102.0,40.833353,-73.917156
20186,26.0,43724.0,1929,1,100.0,115.3,5.5,0.0,84.7,0.0,0.0,0.0,1.0978,0.0,48.0,1.0978,50.0,7119.5,204.0,18102.0,40.833353,-73.917156
20187,15.0,39826.0,1926,1,100.0,132.2,4.8,0.0,84.7,0.0,0.0,0.0,1.0797,0.0,43.0,1.0797,50.0,5922.6,204.0,199.0,40.837156,-73.923299
20188,15.0,39826.0,1926,1,100.0,132.2,4.8,0.0,84.7,0.0,0.0,0.0,1.0797,0.0,43.0,1.0797,50.0,5922.6,204.0,199.0,40.837156,-73.923299
20189,20.0,37819.0,1938,1,100.0,124.7,6.0,0.0,84.7,0.0,0.0,0.0,1.16344,0.0,44.0,1.16344,50.0,5942.5,205.0,22701.0,40.847515,-73.908742
20190,20.0,37819.0,1938,1,100.0,124.7,6.0,0.0,84.7,0.0,0.0,0.0,1.16344,0.0,44.0,1.16344,50.0,5942.5,205.0,22701.0,40.847515,-73.908742
20191,40.0,48010.0,1923,1,100.0,101.0,5.4,0.0,84.7,0.0,0.0,0.0,1.08311,0.0,52.0,1.08311,50.0,5942.8252124221,206.0,37504.0,40.846808,-73.894159
20192,40.0,48010.0,1923,1,100.0,101.0,5.4,0.0,84.7,0.0,0.0,0.0,1.08311,0.0,52.0,1.08311,50.0,5942.8252124221,206.0,37504.0,40.846808,-73.894159
20193,45.0,25010.0,1925,1,100.0,124.5,4.6,0.0,84.7,0.0,0.0,0.0,1.19952,0.0,30.0,1.19952,100.0,5942.8252124221,205.0,243.0,40.853156,-73.910177
20194,45.0,25010.0,1925,1,100.0,124.5,4.6,0.0,84.7,0.0,0.0,0.0,1.19952,0.0,30.0,1.19952,100.0,5942.8252124221,205.0,243.0,40.853156,-73.910177
20195,62.0,45130.0,1928,1,100.0,83.2,6.4,0.0,84.7,0.0,0.0,0.0,1.19654,0.0,54.0,1.19654,50.0,7532.1,205.0,23704.0,40.855563,-73.902376
20196,62.0,45130.0,1928,1,100.0,83.2,6.4,0.0,84.7,0.0,0.0,0.0,1.19654,0.0,54.0,1.19654,50.0,7532.1,205.0,23704.0,40.855563,-73.902376
20197,49.0,49320.0,1921,1,100.0,96.4,4.1,0.0,84.7,0.0,0.0,0.0,0.97324,0.0,48.0,0.97324,50.0,5689.9,207.0,40303.0,40.869433,-73.891824
20198,49.0,49320.0,1921,1,100.0,96.4,4.1,0.0,84.7,0.0,0.0,0.0,0.97324,0.0,48.0,0.97324,50.0,5689.9,207.0,40303.0,40.869433,-73.891824
20199,7.0,45304.0,1929,1,100.0,152.8,4.5,0.0,84.7,0.0,0.0,0.0,1.08158,0.0,49.0,1.08158,50.0,13875.6,212.0,378.0,40.880213,-73.867067
20200,7.0,45304.0,1929,1,100.0,152.8,4.5,0.0,84.7,0.0,0.0,0.0,1.08158,0.0,49.0,1.08158,50.0,13875.6,212.0,378.0,40.880213,-73.867067
20211,12.0,36852.0,1929,1,100.0,155.2,3.7,0.0,84.7,0.0,0.0,0.0,1.24824,0.0,46.0,1.24824,50.0,5942.8252124221,212.0,394.0,40.8868586,-73.862098
20212,12.0,36852.0,1929,1,100.0,155.2,3.7,0.0,84.7,0.0,0.0,0.0,1.24824,0.0,46.0,1.24824,50.0,5942.8252124221,212.0,394.0,40.8868586,-73.862098
20213,1.0,30662.0,1929,1,100.0,138.2,12.5,0.0,84.7,0.0,0.0,0.0,1.10886,0.0,0.0,0.0,50.0,4103.8,212.0,388.0,40.880224,-73.857455
20214,1.0,30662.0,1929,1,100.0,138.2,12.5,0.0,84.7,0.0,0.0,0.0,1.10886,0.0,0.0,0.0,50.0,4103.8,212.0,388.0,40.880224,-73.857455
20223,91.0,42828.0,1945,1,100.0,68.9,0.9,0.0,84.7,0.0,0.0,0.0,1.2,0.0,0.0,0.0,72.16347480279028,374.0,201.0,31.0,40.807986,-73.90276
20230,29.0,49618.0,1969,1,100.0,111.1,6.7,0.0,84.7,0.0,0.0,0.0,1.22939,0.0,61.0,1.22939,50.0,6376.3,201.0,77.0,40.820236,-73.9062
20231,29.0,49618.0,1969,1,100.0,111.1,6.7,0.0,84.7,0.0,0.0,0.0,1.22939,0.0,61.0,1.22939,50.0,6376.3,201.0,77.0,40.820236,-73.9062
20232,23.0,42405.0,1911,1,100.0,117.4,5.4,0.0,84.7,0.0,0.0,0.0,1.0612,0.0,45.0,1.0612,50.0,6813.4,204.0,189.0,40.830871,-73.927841
20233,23.0,42405.0,1911,1,100.0,117.4,5.4,0.0,84.7,0.0,0.0,0.0,1.0612,0.0,45.0,1.0612,50.0,6813.4,204.0,189.0,40.830871,-73.927841
20234,48.0,29510.0,1929,1,100.0,94.1,4.5,0.0,84.7,0.0,0.0,0.0,0.94883,0.0,28.0,0.94883,50.0,3385.7,204.0,189.0,40.831387,-73.927841
20235,48.0,29510.0,1929,1,100.0,94.1,4.5,0.0,84.7,0.0,0.0,0.0,0.94883,0.0,28.0,0.94883,50.0,3385.7,204.0,189.0,40.831387,-73.927841
20236,6.0,41280.0,1915,1,100.0,140.8,8.0,0.0,84.7,0.0,0.0,0.0,1.16279,0.0,48.0,1.16279,50.0,5942.8252124221,202.0,83.0,40.814922,-73.900052
20237,6.0,41280.0,1915,1,100.0,140.8,8.0,0.0,84.7,0.0,0.0,0.0,1.16279,0.0,48.0,1.16279,50.0,5942.8252124221,202.0,83.0,40.814922,-73.900052
20261,13.0,37010.0,1936,1,100.0,126.7,5.4,0.0,84.7,0.0,0.0,0.0,0.97271,0.0,36.0,0.97271,50.0,5598.4,205.0,23302.0,40.848084,-73.906164
20262,13.0,37010.0,1936,1,100.0,126.7,5.4,0.0,84.7,0.0,0.0,0.0,0.97271,0.0,36.0,0.97271,50.0,5598.4,205.0,23302.0,40.848084,-73.906164
20263,2.0,28460.0,1927,1,100.0,169.9,8.1,0.0,84.7,0.0,0.0,0.0,1.01897,0.0,29.0,1.01897,50.0,4503.9,209.0,72.0,40.830533,-73.861465
20264,2.0,28460.0,1927,1,100.0,169.9,8.1,0.0,84.7,0.0,0.0,0.0,1.01897,0.0,29.0,1.01897,50.0,4503.9,209.0,72.0,40.830533,-73.861465
20265,6.0,47410.0,1927,1,100.0,130.0,9.6,0.0,84.7,0.0,0.0,0.0,1.09682,0.0,52.0,1.09682,50.0,7500.9,205.0,24501.0,40.853927,-73.916043
20266,6.0,47410.0,1927,1,100.0,130.0,9.6,0.0,84.7,0.0,0.0,0.0,1.09682,0.0,52.0,1.09682,50.0,7500.9,205.0,24501.0,40.853927,-73.916043
20267,9.0,37110.0,1913,1,100.0,179.3,5.4,0.0,84.7,0.0,0.0,0.0,1.67071,0.0,62.0,1.67071,50.0,5942.8252124221,206.0,359.0,40.841378,-73.884171
20268,9.0,37110.0,1913,1,100.0,179.3,5.4,0.0,84.7,0.0,0.0,0.0,1.67071,0.0,62.0,1.67071,50.0,5942.8252124221,206.0,359.0,40.841378,-73.884171
20296,80.0,47069.0,1926,1,100.0,71.8,2.2,0.0,84.7,0.0,0.0,0.0,0.91355,0.0,43.0,0.91355,90.0,5942.8252124221,208.0,289.0,40.878501,-73.906454
20297,36.0,53500.0,1934,1,100.0,92.7,3.1,0.0,84.7,0.0,0.0,0.0,0.78505,0.0,42.0,0.78505,90.0,3386.8,207.0,421.0,40.881987,-73.883413
20298,20.0,44405.0,1921,1,100.0,108.3,5.2,0.0,84.7,0.0,0.0,0.0,0.7882,0.0,35.0,0.7882,90.0,5835.9,207.0,40702.0,40.86729,-73.886802
20299,43.0,35700.0,1927,1,100.0,63.9,11.1,0.0,84.7,0.0,0.0,0.0,0.86835,0.0,31.0,0.86835,100.0,5942.8252124221,204.0,21302.0,40.84223,-73.922158
20305,15.0,36750.0,1922,1,100.0,131.5,5.1,0.0,84.7,0.0,0.0,0.0,1.27891,0.0,9.0,0.2449,90.0,6232.8,207.0,39901.0,40.86489,-73.894026
20311,5.0,29300.0,1926,1,100.0,145.1,8.1,0.0,84.7,0.0,0.0,0.0,1.19454,0.0,35.0,1.19454,100.0,3821.4,202.0,117.0,40.816206,-73.886928
20319,3.0,68722.0,1928,1,100.0,115.6,8.1,0.0,84.7,0.0,0.0,0.0,0.78577,0.0,20.0,0.29103,100.0,5942.8252124221,203.0,149.0,40.830559,-73.903241
20320,5.0,59814.0,1928,1,100.0,123.5,4.1,0.0,84.7,0.0,0.0,0.0,0.93624,0.0,20.0,0.33437,100.0,8335.0,203.0,149.0,40.830872,-73.90285
20322,28.0,33055.0,1916,1,100.0,108.2,4.6,0.0,84.7,0.0,0.0,0.0,1.11935,0.0,7.0,0.21177,100.0,5942.8252124221,203.0,149.0,40.830869,-73.902879
20325,6.0,37266.0,1923,1,95.0,113.9,9.8,0.0,84.7,0.0,0.0,0.0,1.04653,0.0,9.0,0.24151,100.0,5942.8252124221,204.0,223.0,40.839783,-73.915793
