,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,longitude,latitude,letters
68,86.0,920386.9700000044,1968,1,100,55.9,10.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,7947.8,5,0,0,-73.968618,40.758744,A
69,53.0,920386.9700000044,1963,1,100,93.8,13.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,35897.8350000002,6,0,0,-73.979717,40.760857,D
71,80.0,920386.9700000044,1906,1,100,56.0,10.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,6524.6,11,0,0,-73.991402,40.730842,B
72,70.0,441314.0,1969,1,90,74.6,9.7,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,5758.1,2,0,0,-73.968183,40.761398,C
74,58.0,506359.0,1960,1,95,72.3,12.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,5785.7,3,0,0,-73.973231,40.758224,C
76,45.0,920386.9700000044,1969,1,100,89.4,16.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,35897.8350000002,3,0,0,-73.97846,40.762605,D
77,72.0,677630.0,1963,1,95,61.0,10.4,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,10880.5,4,0,0,-73.975682,40.749076,B
78,76.0,920386.9700000044,1970,1,85,66.9,9.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,17490.4,5,0,0,-73.983962,40.761574,B
79,88.0,578122.0,1983,1,75,40.5,9.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,3124.6,3,0,0,-73.968759,40.75859,A
81,84.0,573652.0,1990,1,100,45.8,9.4,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,3858.1,3,0,0,-73.975193,40.762495,B
83,75.0,437870.0,1930,1,100,59.9,13.0,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4862.8,4,0,0,-73.973695,40.763326,B
84,72.0,920386.9700000044,1992,1,100,59.2,12.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,8297.9,3,0,0,-73.982364,40.757256,B
85,55.0,207430.0,1955,1,70,60.3,13.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,5,0,0,-73.97874,40.755801,D
91,77.0,905629.7,1928,1,95,48.7,10.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,7279.5,3,0,0,-73.982092,40.746077,B
92,65.0,920386.9700000044,1962,1,80,70.7,10.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,8453.2,2,0,0,-74.011502,40.705351,C
93,90.0,268399.0,1953,1,75,39.5,8.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,3,0,0,-73.968407,40.761944,A
94,56.0,292344.0,1981,1,100,68.8,15.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,4,0,0,-73.973454,40.760354,C
96,87.0,816757.0,1989,1,100,37.8,7.7,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4923.7,7,4,0,-73.978901,40.761999,A
97,64.0,373334.0,1975,1,100,93.2,14.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,19976.0,6,0,0,-73.968676,40.750441,C
98,78.0,406785.0,1983,1,100,77.7,10.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,13449.0,5,0,0,-73.970105,40.750634,B
99,63.0,494457.0,1980,1,90,72.8,13.7,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,2,0,0,-73.972479,40.762146,C
100,80.0,536391.0,1898,1,65,54.8,12.0,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,5899.1,6,2,0,-73.980145,40.754514,B
833,81.0,761476.0,1986,1,100,53.6,14.1,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,7075.5,9,3,0,-73.977937,40.760492,B
834,76.0,920386.9700000044,1963,1,100,87.3,7.4,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,16088.7,11,0,0,-73.979457,40.761244,B
836,67.0,182007.0,1986,1,100,63.0,19.5,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,2185.5,2,0,0,-73.973415,40.760035,C
837,74.0,92532.0,1929,1,90,62.9,10.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,1145.3,8,0,0,-73.998528,40.742093,B
839,85.0,624923.0,1990,1,100,63.1,12.0,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,7,0,0,-73.983525,40.760753,B
840,82.0,213746.0,1947,1,100,47.3,10.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,3561.4,8,0,0,-73.969641,40.763117,B
843,54.0,241861.0,1971,1,85,84.3,12.0,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,6596.8,4,0,0,-73.977373,40.763363,D
845,77.0,920386.9700000044,1984,1,100,52.0,11.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,4,0,0,-74.004314,40.70727,B
846,87.0,323600.0,1929,1,100,57.6,9.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,2849.2,6,0,0,-74.007753,40.724658,A
1072,80.0,459957.0,1969,1,100,60.1,15.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,8,0,0,-73.969157,40.762631,B
1073,91.0,120092.6,1913,1,100,37.3,9.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,5,0,0,-73.982289,40.752384,A
