,score,property_id,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kwh,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_10_or_more_stories,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
3531,55,2740468.0,1959.0,1,100,4.6,0.8,288450.3,5.4,4.1,79.5,0.0,0.0,1.82106,60.0,0.95845,0.95845,0.0,0.0,0.0,100.0,4721.7,5.0,0,0,208.0,337.0,-73.902815,40.88786849
3544,52,2741243.0,1940.0,1,100,3.6,0.4,1353434.0,5.9,2.2,79.5,0.0,0.0,1.39539,0.0,1.00716,0.0,190.0,1.00716,60.0,80.0,4594.425778134381,21.0,0,0,209.0,21001.0,-73.861569,40.839382
3545,83,2741246.0,1940.0,1,100,4.5,0.0,1389301.0,4.3,0.2,79.5,0.0,0.0,1.53566,302.0,1.01927,1.01927,0.0,0.0,60.0,80.0,4594.425778134381,11.0,0,0,209.0,21001.0,-73.858638,40.839365
3547,82,2741278.0,1940.0,1,100,4.1,0.1,1276782.0,4.3,0.4,79.5,0.0,0.0,1.6824,0.0,1.02437,0.0,190.0,1.02437,60.0,80.0,4594.425778134381,16.0,0,0,209.0,21001.0,-73.858084,40.839682
3548,89,2741284.0,1940.0,1,100,3.7,0.0,1215388.0,4.0,0.2,79.5,0.0,0.0,1.56435,0.0,1.0575,0.0,190.0,1.0575,60.0,80.0,4594.425778134381,11.0,0,0,209.0,21001.0,-73.858855,40.839228
3549,88,2741286.0,1940.0,1,100,3.7,0.0,516436.6,4.0,0.2,79.5,0.0,0.0,1.58782,0.0,0.99513,0.0,136.0,0.99513,60.0,80.0,4594.425778134381,7.0,0,0,209.0,21001.0,-73.857169,40.840079
3550,82,2741298.0,1940.0,1,100,3.9,0.0,833968.3,4.2,0.3,79.5,0.0,0.0,1.43974,208.0,1.00156,1.00156,0.0,0.0,60.0,80.0,4594.425778134381,7.0,0,0,209.0,21001.0,-73.860229,40.838834
3551,58,2741304.0,1940.0,1,100,3.3,0.0,681744.6,4.4,0.2,79.5,0.0,0.0,1.65576,0.0,1.00674,0.0,190.0,1.00674,60.0,80.0,4594.425778134381,9.0,0,0,209.0,21001.0,-73.856663,40.842082
3552,85,2741306.0,1940.0,1,100,3.5,0.0,674615.2,4.3,0.2,79.5,0.0,0.0,1.5313,0.0,1.07084,0.0,190.0,1.07084,60.0,80.0,4594.425778134381,10.0,0,0,209.0,21001.0,-73.8599,40.838828
3553,95,2741310.0,1940.0,1,100,3.7,0.0,866779.7,3.4,0.2,79.5,0.0,0.0,1.56478,232.0,1.00562,1.00562,0.0,0.0,60.0,80.0,4594.425778134381,9.0,0,0,209.0,21001.0,-73.862738,40.840487
3554,93,2741313.0,1940.0,1,100,3.7,0.0,935238.8,3.6,0.2,79.5,0.0,0.0,1.48923,0.0,1.08345,0.0,190.0,1.08345,60.0,80.0,4594.425778134381,11.0,0,0,209.0,21001.0,-73.862237,40.841447
3555,90,2741316.0,1940.0,1,100,3.9,0.0,928835.7,3.9,0.2,79.5,0.0,0.0,1.66621,0.0,1.03494,0.0,190.0,1.03494,60.0,80.0,4594.425778134381,10.0,0,0,209.0,21001.0,-73.861286,40.841558
