,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude,letters
11553,41.0,96184.0,1967,1,100,5.0,0.0,481713.3,19.2,6.0,0.2,79.5,0.0,0.0,1.2892,1.2892,1.2892,0.0,0.0,0.0,0.0,4008.1,7.0,0,0,107.0,177.0,-73.970689,40.792483,D
11557,63.0,39000.0,1962,1,100,5.1,0.0,199330.3,211.8,6.9,5.4,79.5,0.0,0.0,1.92308,1.33333,0.0,52.0,1.33333,73.35970197368421,100.0,2099.8,5.0,0,0,106.0,98.0,-73.966013,40.756289,C
11558,53.0,38505.0,1937,1,100,3.7,0.5096468802428696,141393.7,276.0,8.2,7.2,79.5,0.0,0.0,1.81795,1.37644,0.0,53.0,1.37644,73.35970197368421,100.0,1863.4,7.0,0,0,112.0,303.0,-73.91984190000001,40.86805158,D
11559,86.0,42063.0,1948,1,100,3.5,0.0,148854.0,191.5,5.4,4.5,79.5,0.0,0.0,1.61662,1.16492,0.0,49.0,1.16492,73.35970197368421,100.0,1353.3,9.0,0,0,112.0,307.0,-73.91984190000001,40.86805158,A
11560,76.0,32000.0,1958,1,100,4.7,0.8,150188.0,119.2,5.1,3.7,79.5,0.0,0.0,2.0,1.59375,0.0,51.0,1.59375,73.35970197368421,100.0,1019.9,5.0,0,0,106.0,98.0,-73.966092,40.756303,B
11561,62.0,35840.0,1956,1,100,4.4,0.8,158955.0,136.9,5.1,3.8,79.5,0.0,0.0,1.4788,1.31138,0.0,47.0,1.31138,73.35970197368421,100.0,1285.9,9.0,0,0,106.0,98.0,-73.970099,40.755555,C
11564,1.0,44818.0,1910,1,95,12.3,0.5096468802428696,551813.1,284.1,9.8,6.3,79.5,0.0,0.0,1.4,1.2,0.0,0.0,0.0,73.35970197368421,95.78447655077947,4594.425778134381,12.0,0,0,112.0,263.0,-73.935363,40.847426,D
11566,34.0,26496.0,1912,1,95,4.3,0.8,115171.5,102.4,5.1,3.9,79.5,0.0,0.0,1.4,1.2,0.0,0.0,0.0,73.35970197368421,95.78447655077947,1389.4,8.0,0,0,105.0,137.0,-73.979593,40.763629,D
11567,66.0,41306.0,1924,1,95,3.6,0.0,146733.2,188.3,5.5,4.6,79.5,0.0,0.0,1.4,1.2,0.0,0.0,0.0,73.35970197368421,95.78447655077947,1151.3,8.0,0,0,106.0,80.0,-73.977519,40.747948,C
11568,1.0,36745.0,1913,1,95,2.5,0.5096468802428696,92290.4,230.1,12.7,6.3,79.5,0.0,0.0,1.4,1.2,0.0,0.0,0.0,73.35970197368421,95.78447655077947,4594.425778134381,8.0,0,0,108.0,120.0,-73.962187,40.768689,D
